#separator:tab
#html:true
#tags column:8
Spanish	English	Swedish	Tag	Example ES	Example EN	Comment	Tag
Perturbar	Trouble, disturb, disrupt ✓	Att störa	Verb	No quiero perturbar tu paz.	I dont want to disturb your peace.	The verb perturbar is often used in formal contexts, such as in legal or academic discussions.	Verb
Perturbador	Disturbing, unsettling, disruptive ✓	Störande	Adjective	La película tenía un mensaje perturbador.	The movie had a disturbing message.	Perturbador is often used to describe art or media that challenges the viewers comfort.	Adjective
Inquieto	Restless	Rastlös, aktiv ✓	Adjective	El niño está inquieto en clase.	The boy is restless in class.	Inquieto can describe both physical restlessness and mental unease in Spanish.	Adjective
Atracción (de/a una persona)	Attraction (of/to a person)	Attraktion (till/av en person) ✓	Noun	La atracción entre ellos era innegable.	The attraction between them was undeniable.	The noun atracción is often used to describe both romantic and physical allure in relationships.	Noun
La bandera	The flag	Flaggan ✓	Noun	La bandera ondea en el viento.	The flag waves in the wind.	La bandera refers to a national symbol and is often displayed during celebrations.	Noun
La onda	The wave	Vågen (som fysik) ✓	Noun	La onda se propaga a través del agua.	The wave propagates through the water.	La onda is often used in scientific contexts, especially in physics to describe waves.	Noun
Ondear	Flutter, wave, flag ✓	Att vaja	Verb	La bandera comienza a ondear con el viento.	The flag starts to wave with the wind.	Ondear is commonly used in the context of flags or banners moving in the air.	Verb
El asta (feminino)	The flagpole	Hornet (djur) / flaggstången, masten ✓	Noun	El asta está decorada con banderas.	The flagpole is decorated with flags.	In Spanish, el asta means the flagpole, and it is feminine but uses the masculine article el due to the word starting with a stressed a sound.	Noun
Bandera a media asta	Half-mast flag	Flagga i halvstång ✓	Phrase	Hoy la bandera a media asta se izó en señal de duelo.	Today the half-mast flag was raised as a sign of mourning.	Bandera a media asta is often used during times of national loss or mourning.	Phrase
(estar) hasta la bandera	Full	Att vara helt full ✓	Phrase	El restaurante estaba hasta la bandera a la hora de la cena.	The restaurant was completely full at dinner time.	The phrase estar hasta la bandera is often used in Spain to describe a place that is crowded or fully occupied.	Phrase
Padecer (algo)	To suffer (from something)	Att lida (av något) ✓	Verb	Ella padece de migrañas.	She suffers from migraines.	Padecer is often used in medical contexts to describe enduring illnesses or conditions.	Verb
El ejército	The army	Armén ✓	Noun	El ejército está preparado para defender el país.	The army is prepared to defend the country.	Fun fact: El ejército is often associated with national pride and military history in Spanish-speaking countries.	Noun
Conceder	To concede	Belivja / ge ✓	Verb	Voy a conceder tu solicitud.	I am going to concede your request.	Conceder is often used in contexts of granting permission or acknowledging a point in a debate.	Verb
El/la inversor/a	The investor	Investeraren ✓	Noun	El inversor busca oportunidades en el mercado.	The investor is looking for opportunities in the market.	El/la inversor/a is used to represent a gender-neutral term for investors in Spanish.	Noun
Próspero	Prosperous	Framgångsrik, välmående ✓	Adjective	El negocio ha sido muy próspero este año.	The business has been very prosperous this year.	Próspero is often used to describe successful businesses and individuals.	Adjective
El auge	The peak, height / the rise, boom ✓	Toppen	Noun	El auge de la tecnología ha cambiado nuestras vidas.	The rise of technology has changed our lives.	El auge is often used to refer to periods of significant growth or success, especially in economics.	Noun
La huelga	The strike	Strejken ✓	Noun	La huelga fue pacífica.	The strike was peaceful.	La huelga is commonly used in labor movements in Spanish-speaking countries.	Noun
El huelgo	The gap	Andetaget / utrymmet ✓	Noun	El huelgo permite que el aire circule mejor.	The gap allows the air to circulate better.	El huelgo is often used in contexts related to physical spaces or figures of speech about openness.	Noun
Holgar	Be unnecessary, &quot;needless to say,&quot; &quot;it goes without saying,&quot; ✓	Att vara onödig	Verb	Holga que este evento es importante.	It goes without saying that this event is important.	Holgar is often used to emphasize that something is so obvious it doesnt need to be stated.	Verb
Caída en picado	Free fall	Fritt fall, drastisk nedgång ✓	Phrase	La economía ha tenido una caída en picado este año.	The economy has experienced a free fall this year.	Caída en picado is often used to describe sudden and dramatic declines, especially in finance or popularity.	Phrase
El desplome	The collapse	Kollapsen ✓	Noun	El desplome de la construcción fue inesperado.	The collapse of the building was unexpected.	El desplome is often used in contexts referring to structural failures or economic downturns.	Noun
Desplomar(se)	To collapse	Kollapsa (reflexivt om det är man själv som kollapsar) ✓	Verb	Me empezó a sentir mal y me desplomé.	I started to feel ill and collapsed.	In Spanish, desplomarse can be used to describe a sudden physical or emotional collapse.	Verb
Espinoso (que tiene espinas)	Prickly, thorny, bony (fish) / thorny, delicate (figuratively) ✓	Taggig	Adjective	La planta es espinosa.	The plant is prickly.	The word espinoso can describe both physical objects like plants and figurative concepts that are delicate or tricky.	Adjective
El reparto	Distribution	Fördelningen ✓	Noun	El reparto de las tareas es esencial para un buen trabajo en equipo.	The distribution of tasks is essential for good teamwork.	Fun fact: El reparto can refer to both the distribution of tasks and the distribution of roles in a play or film.	Noun
El empadronamiento	Registration	Folkbokföringen ✓	Noun	El empadronamiento es un proceso importante en España.	The registration is an important process in Spain.	El empadronamiento is essential for accessing public services in Spain.	Noun
Los empadronados	The registered residents	De folkbokförda ✓	Noun	Los empadronados tienen derechos en la comunidad.	The registered residents have rights in the community.	Los empadronados refers to those officially registered in a municipality, often used in contexts related to local governance and services.	Noun
La devolución	The return, refund ✓	Återbetalningen	Noun	La devolución fue exitosa.	The return was successful.	La devolución is commonly used in customer service contexts in Spanish-speaking countries.	Noun
El alambre de concertina, de espino	Barbed wire	Taggtråd ✓	Noun	El alambre de concertina, de espino se utiliza para proteger las propiedades.	The barbed wire is used to protect properties.	Fun fact: El alambre de concertina, de espino is often used in security fencing.	Noun
El alambre	The wire	Kabeln, tråden, ledningen ✓	Noun	El alambre es muy fino.	The wire is very thin.	El alambre is commonly used in various contexts, such as construction and crafting, referring to any type of wire.	Noun
El consenso	The consensus	Consensus, överenskommelse ✓	Noun	El consenso es importante en la toma de decisiones.	The consensus is important in decision-making.	Fun fact: El consenso is often used in discussions to emphasize agreement among different parties.	Noun
La longitud	Length	Längden / longituden ✓	Noun	La longitud del río es impresionante.	The length of the river is impressive.	Fun fact: La longitud is often used in scientific contexts, such as geography and physics.	Noun
Hacer trampa	To cheat	Fuska (i skolan) ✓	Verb	El estudiante decidió hacer trampa en el examen.	The student decided to cheat on the exam.	Fun fact: Hacer trampa is commonly used in academic contexts, especially among students.	Verb
Reanudar	To resume	Återuppta ✓	Verb	Vamos a reanudar la reunión.	We are going to resume the meeting.	Reanudar is often used in formal contexts like meetings and classes.	Verb
El éxodo	The exodus	Massemigrering ✓	Noun	El éxodo de los refugiados fue un evento significativo.	The exodus of refugees was a significant event.	El éxodo is often used in literature to describe mass migrations or significant movements of people.	Noun
Indisoluble	Indissoluble	Ölösbara (kemi) / odelbara, bindande (rättsligt) ✓	Adjective	La relación entre ellos es indisoluble.	The relationship between them is indissoluble.	Indisoluble often describes bonds or relationships that cannot be broken, making it popular in both legal and scientific contexts.	Adjective
El estatuto	The statute	Stadgan, regelverket ✓	Noun	El estatuto es importante para la organización.	The statute is important for the organization.	In legal contexts, El estatuto often refers to a formal set of laws or regulations governing an organization or institution.	Noun
El repunte, la subida, el crecimiento	The rebound, the rise, the growth	Ökning ✓	Noun	El repunte, la subida, el crecimiento son señales positivas en la economía.	The rebound, the rise, the growth are positive signs in the economy.	El repunte, la subida, el crecimiento can be used interchangeably in economic contexts to highlight upward trends.	Noun
Arraigado	Deeply rooted	(djupt) rotat, starkt etablicerad / fast (negativt) ✓	Adjective	El racismo está arraigado en la sociedad.	Racism is deeply rooted in society.	Arraigado can be used to describe not just plants, but also ideas and attitudes that are firmly established.	Adjective
Arraigar	To root	Slå rot (växt eller metaforiskt) ✓	Verb	Las plantas tienden a arraigar en suelos fértiles.	Plants tend to root in fertile soils.	The verb arraigar is often used both literally for plants and metaphorically for establishing deep connections.	Verb
Llevar a cabo	Carry out/through / accomplish / perform ✓	Genomföra	Phrase	Voy a llevar a cabo el proyecto mañana.	I am going to carry out the project tomorrow.	Llevar a cabo is commonly used in professional contexts to indicate the execution of tasks or plans.	Phrase
Cicatrizar	To heal	Att läka (bokstavligen eller figurativt) ✓	Verb	Las heridas cicatrizan con el tiempo.	Wounds heal over time.	Cicatrizar can refer to both physical wounds and emotional healing in Spanish.	Verb
